authors,title,published,year
Samira Pouyanfar Yudong Tao Anup Mohan Haiman Tian Ahmed S. Kaseb Kent Gauen Ryan Dailey Sarah Aghajanzadeh Yung-Hsiang Lu Shu-Ching Chen Mei-Ling Shyu. ,"Dynamic Sampling in Convolutional Neural Networks for Imbalanced Data Classification,"," IEEE International Conference on Multimedia Information Processing and Retrieval,  2018.,  2018.",2018
Kristen Bellisario Jack Vanschaik Zhao Zhao Hichem Omrani Amandine Gasc Bryan Pijanowski. ,"Musicological Indices for Soundscape Ecological Analysis,", Poster Presented at Acoustical Society of America Conference,2017
Kent Gauen Rohit Rangan Anup Mohan Yung-Hsiang Lu Wei Liu Alexander C Berg. ,"Low-Power Image Recognition Challenge,"," Asia and South Pacific Design Automation Conference 2017,  2017.,  2017.",2017
Manjie Fu Lingsong Zhang Azza Ahmed Karen Plaut David M. Haas Kinga Szucs Theresa M. Casey. ,"Does circadian disruption play a role in the metabolic-hormonal link to delayed lactogenesis II?,", Frontiers in Nutrition,2015
Elle Tigner Jennifer Neville. ,"An Analysis of Network Discussion Trends in Twitter Using Hashtag Clusters,"," presented at the Joint Statistical Meetings,  on July 31,  2017.",2017
Patrick Gallagher Bruce A. Craig Tim Luttermoser Grzegorz Buczkowski. ,"Paired Competition Analysis using Mixed Models,", Proceedings of the 2016 Conference on Applied Statistics in Agriculture,2016
David Banks Mark Daniel Ward. ,"Advice for Those Applying to Graduate School,", Amstat News,2016
Kent Gauen Yuxiang Zi John Laiman Nirmal Asokan Yung-Hsiang Lu. ,"CAM2 Network Camera Object Detection Dataset and Analysis,"," presented at the Joint Statistical Meetings,  on July 31,  2017.",2017
Brittany Griggs. ,"Changes in Cell Structure and Spreading from Lowe Syndrome,"," presented at the Rose Hulman Undergraduate Mathematics Conference,  on April 21,  2017.",2017
Maggie Christy David Ross Pazit Sankey Susan Scott Sarah Wang Mark Daniel Ward. ,"Quality Control of Blood Sample Analysis for Transplant Patients,"," presented at the Joint Statistical Meetings,  on July 31,  2017.",2017
Sameer Manchanda Mikaela Meyer Qianqian Li Nan Kong Kai Liang Yan Li. ,"On Comprehensive Mass Spectrometry Data Analysis for Proteome Profiling of Human Blood Samples,"," presented at Data Mining for Medicine and Healthcare with SIAM Data Mining 2017 (SDM 2017),  on April 29,  2017.",2017
Kent Gauen Xiao Wang. ,"Fundamental Unsupervised Machine Learning Models,"," presented at Undergraduate Mathematics Symposium,  at University of Illinois at Chicago,  2016.",2016
Brian French Nicole Markley Laszlo Csonka Mark Daniel Ward. ,"Rates of DNA Mutation in Genes and Inte-Gene Regions,"," presented at the Joint Statistical Meetings,  on July 31,  2017.",2017
Nan Kong Sameer Manchanda Mikaela Meyer. ,"On Comprehensive Mass Spectrometry Data Analysis for Proteome Profiling of Human Blood Samples,"," Journal of Healthcare Informatics Research,  2018.,  2018.",2018
Brittany Griggs Swetha Ramadesikan Ruben Claudio Aguilar. ,"Changes in Cell Structure and Spreading from Lowe Syndrome,"," presented at the Joint Statistical Meetings,  on July 31,  2017.",2017
Stevie Norcross Keelan Trull Jordan Snaider Sara Doan Kiet Tat Libai Huang Mathew Tantama. ,"Constructing Red-Shifted Fluorescent Protein Sensors of Cellular Redox Status,"," FASEB Journal,  v.31,  p. Apr 17 su.",2017
Miranda Champion. ,"Applying Big Data Analysis to Particle Physics,"," presented at the Rose Hulman Undergraduate Mathematics Conference,  on April 21,  2017.",2017
Amber Young Donglai Chen Jun Xie. ,"Reanalysis of Cancer Immunotherapy Clinical Data to Elucidate Genetic information of Immunotherapy Response,"," presented at the Rose Hulman Undergraduate Mathematics Conference,  on April 22,  2017.",2017
Jack VanSchaik Kristen Bellisario Amandine Gasc Bryan Pijanowski. ,"Spatial Soundscape Ecology: Application in a Paleotropical Rainforest,", presented at Acoustical Society of America Conference,2017
Ashley Peterson Emily Martin. ,"Filling in the Gaps: Using Multiple Imputation to Improve Statistical Accuracy,", Rose-Hulman Undergraduate Mathematics Journal,2016
