0	latitude	longitude	diurnal
155	36.0197	-121.5141	50384.3
156	36.0197	-121.5138	50384.3
157	36.0197	-121.5136	50384.3
158	36.0197	-121.5133	50384.3
159	36.0197	-121.5130	50384.3
160	36.0196	-121.5125	50384.3
161	36.0196	-121.5122	50384.3
162	36.0196	-121.5119	50384.3
163	36.0196	-121.5116	50384.3
164	36.0196	-121.5113	50384.3
165	36.0195	-121.5111	50384.3
166	36.0195	-121.5105	50384.3
167	36.0195	-121.5102	50384.3
168	36.0195	-121.5100	50384.3
169	36.0195	-121.5097	50384.2
170	36.0195	-121.5094	50384.2
171	36.0194	-121.5091	50384.2
172	36.0194	-121.5086	50384.2
173	36.0194	-121.5083	50384.2
174	36.0194	-121.5080	50384.2
175	36.0194	-121.5077	50384.2
176	36.0194	-121.5075	50384.2
177	36.0193	-121.5069	50384.2
178	36.0193	-121.5066	50384.2
179	36.0193	-121.5063	50384.2
180	36.0193	-121.5061	50384.2
181	36.0193	-121.5058	50384.2
182	36.0192	-121.5055	50384.2
183	36.0192	-121.5050	50384.2
184	36.0192	-121.5047	50384.2
185	36.0192	-121.5044	50384.2
186	36.0192	-121.5041	50384.2
187	36.0192	-121.5038	50384.2
188	36.0191	-121.5036	50384.2
189	36.0191	-121.5030	50384.2
190	36.0191	-121.5027	50384.2
191	36.0191	-121.5025	50384.2
192	36.0191	-121.5022	50384.1
193	36.0190	-121.5019	50384.1
194	36.0190	-121.5016	50384.1
195	36.0190	-121.5011	50384.1
196	36.0190	-121.5008	50384.1
197	36.0190	-121.5005	50384.1
198	36.0190	-121.5002	50384.1
199	36.0189	-121.5000	50384.1
200	36.0189	-121.4994	50384.1
201	36.0189	-121.4991	50384.1
202	36.0189	-121.4988	50384.1
203	36.0189	-121.4986	50384.1
204	36.0189	-121.4983	50384.1
205	36.0188	-121.4980	50384.1
206	36.0188	-121.4975	50384.1
207	36.0188	-121.4972	50384.1
208	36.0188	-121.4969	50384.1
209	36.0188	-121.4966	50384.1
210	36.0187	-121.4963	50384.1
211	36.0187	-121.4961	50384.1
212	36.0187	-121.4955	50384.1
213	36.0187	-121.4952	50384.1
214	36.0187	-121.4950	50384.1
215	36.0187	-121.4947	50384.1
216	36.0186	-121.4944	50384.0
217	36.0186	-121.4938	50384.0
218	36.0186	-121.4936	50384.0
219	36.0186	-121.4933	50384.0
220	36.0186	-121.4930	50384.0
221	36.0185	-121.4927	50384.0
222	36.0185	-121.4925	50384.0
223	36.0185	-121.4919	50384.0
224	36.0185	-121.4916	50384.0
225	36.0185	-121.4913	50384.0
226	36.0185	-121.4911	50384.0
227	36.0184	-121.4908	50384.0
228	36.0184	-121.4905	50384.0
