latitude,longitude,diurnal
36.0225,-121.5644,50385.0
36.0224,-121.5641,50385.0
36.0224,-121.5638,50385.0
36.0224,-121.5636,50385.0
36.0224,-121.5633,50385.0
36.0224,-121.5627,50385.0
36.0224,-121.5625,50385.0
36.0223,-121.5622,50385.0
36.0223,-121.5619,50385.0
36.0223,-121.5616,50385.0
36.0223,-121.5613,50384.9
36.0223,-121.5608,50384.9
36.0222,-121.5605,50384.9
36.0222,-121.5602,50384.9
36.0222,-121.5600,50384.9
36.0222,-121.5597,50384.9
36.0222,-121.5594,50384.9
36.0222,-121.5588,50384.9
36.0221,-121.5586,50384.9
36.0221,-121.5583,50384.9
36.0221,-121.5580,50384.9
36.0221,-121.5577,50384.9
36.0221,-121.5575,50384.9
36.0221,-121.5569,50384.9
36.0220,-121.5566,50384.9
36.0220,-121.5563,50384.9
36.0220,-121.5561,50384.9
36.0220,-121.5558,50384.9
36.0220,-121.5552,50384.9
36.0219,-121.5550,50384.9
36.0219,-121.5547,50384.9
36.0219,-121.5544,50384.9
36.0219,-121.5541,50384.9
36.0219,-121.5538,50384.8
36.0219,-121.5533,50384.8
36.0218,-121.5530,50384.8
36.0218,-121.5527,50384.8
36.0218,-121.5525,50384.8
36.0218,-121.5522,50384.8
36.0218,-121.5519,50384.8
36.0218,-121.5513,50384.8
36.0217,-121.5511,50384.8
36.0217,-121.5508,50384.8
36.0217,-121.5505,50384.8
36.0217,-121.5502,50384.8
36.0217,-121.5497,50384.8
36.0216,-121.5494,50384.8
36.0216,-121.5491,50384.8
36.0216,-121.5488,50384.8
36.0216,-121.5486,50384.8
36.0216,-121.5483,50384.8
36.0216,-121.5477,50384.8
36.0215,-121.5475,50384.8
36.0215,-121.5472,50384.8
36.0215,-121.5469,50384.8
36.0215,-121.5466,50384.7
36.0215,-121.5463,50384.7
36.0215,-121.5458,50384.7
36.0214,-121.5455,50384.7
36.0214,-121.5452,50384.7
36.0214,-121.5450,50384.7
36.0214,-121.5447,50384.7
36.0214,-121.5441,50384.7
36.0213,-121.5438,50384.7
36.0213,-121.5436,50384.7
36.0213,-121.5433,50384.7
36.0213,-121.5430,50384.7
36.0213,-121.5427,50384.7
36.0213,-121.5422,50384.7
36.0212,-121.5419,50384.7
36.0212,-121.5416,50384.7
36.0212,-121.5413,50384.7
36.0212,-121.5411,50384.7
36.0212,-121.5408,50384.7
36.0212,-121.5402,50384.7
36.0211,-121.5400,50384.7
36.0211,-121.5397,50384.7
36.0211,-121.5394,50384.7
36.0211,-121.5391,50384.6
36.0211,-121.5388,50384.6
36.0210,-121.5383,50384.6
36.0210,-121.5380,50384.6
36.0210,-121.5377,50384.6
36.0210,-121.5375,50384.6
36.0210,-121.5372,50384.6
36.0210,-121.5366,50384.6
36.0209,-121.5363,50384.6
36.0209,-121.5361,50384.6
36.0209,-121.5358,50384.6
36.0209,-121.5355,50384.6
36.0209,-121.5352,50384.6
36.0208,-121.5347,50384.6
36.0208,-121.5344,50384.6
36.0208,-121.5341,50384.6
36.0208,-121.5338,50384.6
36.0208,-121.5336,50384.6
36.0208,-121.5333,50384.6
36.0207,-121.5327,50384.6
36.0207,-121.5325,50384.6
