Course,Course TItle,Course URL,Course Description
DSCI 301,Statistics for Data Science,,
DSCI 302,Data Science Tools and Models,,
DSCI 303,Machine Learning for Data Science,,
DSCI 304,Introduction to Effective Data Visualization,,
DSCI 305,"Data, Ethics, and Society",,
DSCI 400,Data Science Projects,,
