Course,Course TItle,Course URL,Course Description
DATA 1010,"An Introduction to Topics in Probability, Statistics, and Machine Learning",,
DATA 1030,Introduction to Topics in Data and Computational Science,,
DATA 2020,"Probability, Statistics, and Machine Learning: Advanced Methods",,
DATA 2040,Data and Computational Science,,
DATA 2080,Data and Society,,
DATA 2050,Data Science Capstone Project,,
