Course,Course TItle,Course URL,Course Description
INF 180,Introduction to Data Science
INFO 370,Core Methods in Data Science
INFX 572,Introduction to Data Science
BIOST 544,Introduction to Biomedical Data Science
BIOL 419/519,Data Science for Biologists 
